image,threshold
kaz02_1065,119.0
kaz02_1066,114.0
kaz02_1067,119.0
kaz02_1068,116.0
kaz02_1069,121.0
kaz02_1070,114.0
kaz02_1071,119.0
kaz02_1072,116.0
kaz02_1073,120.0
kaz02_1074,115.0
kaz02_1075,120.0
kaz02_1076,116.0
kaz02_1077,120.0
kaz02_1078,115.0
kaz02_1079,120.0
kaz02_1080,115.0
kaz02_1081,117.0
kaz02_1082,114.0
kaz02_1083,118.0
kaz02_1084,113.0
kaz02_1085,116.0
kaz02_1086,114.0
kaz02_1087,118.0
kaz02_1088,112.0
kaz02_1089,117.0
kaz02_1090,112.0
kaz02_1091,115.0
kaz02_1092,117.0
kaz02_1093,119.0
kaz02_1094,110.0
kaz02_1095,114.0
kaz02_1096,116.0
kaz02_1097,117.0
kaz02_1098,115.0
kaz02_1099,118.0
kaz02_1100,114.0
kaz02_1101,115.0
kaz02_1102,113.0
kaz02_1103,117.0
kaz02_1104,115.0
kaz02_1105,120.0
kaz02_1106,120.0
kaz02_1107,124.0
kaz02_1108,116.0
kaz02_1109,120.0
kaz02_1110,121.0
kaz02_1111,124.0
kaz02_1112,117.0
kaz02_1113,116.0
kaz02_1114,116.0
kaz02_1115,119.0
kaz02_1116,114.0
kaz02_1117,117.0
kaz02_1118,116.0
kaz02_1119,119.0
kaz02_1120,113.0
kaz02_1121,116.0
kaz02_1122,119.0
kaz02_1123,123.0
kaz02_1124,113.0
kaz02_1125,118.0
kaz02_1126,117.0
kaz02_1127,121.0
kaz02_1128,112.0
kaz02_1129,113.0
kaz02_1130,113.0
kaz02_1131,116.0
kaz02_1132,111.0
kaz02_1133,115.0
kaz02_1134,119.0
kaz02_1135,121.0
kaz02_1136,111.0
kaz02_1137,113.0
kaz02_1138,111.0
kaz02_1139,114.0
kaz02_1140,114.0
kaz02_1141,118.0
kaz02_1142,115.0
kaz02_1143,118.0
kaz02_1144,114.0
kaz02_1145,118.0
kaz02_1146,115.0
kaz02_1147,119.0
kaz02_1148,115.0
kaz02_1149,118.0
kaz02_1150,115.0
kaz02_1151,118.0
kaz02_1152,116.0
kaz02_1153,119.0
kaz02_1154,119.0
kaz02_1155,121.0
kaz02_1156,119.0
kaz02_1157,120.0
kaz02_1158,120.0
kaz02_1159,121.0
kaz02_1160,118.0
kaz02_1161,120.0
kaz02_1162,122.0
kaz02_1163,124.0
kaz02_1164,119.0
